Entity,Code,Year,Coal - Reserves - Total
Africa,,2021,14837000000
Asia,,2021,341962000000
Asia Pacific (BP),,2021,459750000000
Australia,AUS,2020,150227000000
Australia,AUS,2021,150227000000
Brazil,BRA,2020,6596000000
Brazil,BRA,2021,6596000000
Bulgaria,BGR,2020,2366000000
Bulgaria,BGR,2021,2366000000
CIS (BP),,2021,190655000000
Canada,CAN,2020,6582000000
Canada,CAN,2021,6582000000
China,CHN,2020,143197000000
China,CHN,2021,143197000000
Colombia,COL,2020,4554000000
Colombia,COL,2021,4554000000
Czechia,CZE,2020,3595000000
Czechia,CZE,2021,3595000000
Europe,,2021,287881000000
Europe (BP),,2021,137240000000
Germany,DEU,2020,35900000000
Germany,DEU,2021,35900000000
Greece,GRC,2020,2876000000
Greece,GRC,2021,2876000000
High-income countries,,2021,488889000000
Hungary,HUN,2020,2909000000
Hungary,HUN,2021,2909000000
India,IND,2020,111052000000
India,IND,2021,111052000000
Indonesia,IDN,2020,34869000000
Indonesia,IDN,2021,34869000000
Japan,JPN,2020,350000000
Japan,JPN,2021,350000000
Kazakhstan,KAZ,2021,25605000000
Lower-middle-income countries,,2021,191117000000
Mexico,MEX,2020,1211000000
Mexico,MEX,2021,1211000000
Middle East (BP),,2021,1203000000
Mongolia,MNG,2020,2520000000
Mongolia,MNG,2021,2520000000
New Zealand,NZL,2020,7575000000
New Zealand,NZL,2021,7575000000
North America,,2021,256734000000
North America (BP),,2021,256734000000
Oceania,,2021,157802000000
Pakistan,PAK,2020,3064000000
Pakistan,PAK,2021,3064000000
Poland,POL,2020,28395000000
Poland,POL,2021,28395000000
Romania,ROU,2020,291000000
Romania,ROU,2021,291000000
Russia,RUS,2021,162166000000
Serbia,SRB,2020,7514000000
Serbia,SRB,2021,7514000000
South Africa,ZAF,2020,9893000000
South Africa,ZAF,2021,9893000000
South America,,2021,11881000000
South Korea,KOR,2020,326000000
South Korea,KOR,2021,326000000
South and Central America (BP),,2021,13689000000
Spain,ESP,2020,1187000000
Spain,ESP,2021,1187000000
Thailand,THA,2020,1063000000
Thailand,THA,2021,1063000000
Total Middle East & Africa (BP),,2021,16040000000
Turkey,TUR,2020,11525000000
Turkey,TUR,2021,11525000000
Ukraine,UKR,2021,34375000000
United Kingdom,GBR,2020,26000000
United Kingdom,GBR,2021,26000000
United States,USA,2020,248941000000
United States,USA,2021,248941000000
Upper-middle-income countries,,2021,375981000000
Uzbekistan,UZB,2021,1375000000
Venezuela,VEN,2020,731000000
Venezuela,VEN,2021,731000000
Vietnam,VNM,2020,3360000000
Vietnam,VNM,2021,3360000000
World,OWID_WRL,2020,1074108000000
World,OWID_WRL,2021,1074108000000
Zimbabwe,ZWE,2020,502000000
Zimbabwe,ZWE,2021,502000000